id;nombre_iniciativa;tipo_intent_negocio;tipo_intent_operativo;tipo_intent_capacidad_equipos;tipo_intent_tecnico_arquitectural;declaracion_intent;area_proponente;flujo_de_valor;metricas_de_exito;impacto_personas;datos_requeridos_ninguno;datos_requeridos_datos_publicos;datos_requeridos_datos_operativos;datos_requeridos_datos_personales;datos_requeridos_datos_confidenciales;datos_requeridos_otros;supuesto_riesgo;restricciones;sponsor;label;razonamiento;split
VAR-SOL-S01;VAR-SOL-S01;false;true;false;false;"Sistema que detecta anomalias de costos por centro y las marca para Finanzas; reduce el tiempo de revision.";Operaciones;Proceso interno del area;"Deteccion de anomalias >= 80% (linea base 55%); tiempo -50%";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;false;true;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);solido;;train
VAR-SOL-S02;VAR-SOL-S02;false;false;true;false;"Asistente que genera borradores de minutas a partir de transcripciones; el autor valida.";Operaciones;Proceso interno del area;"Tiempo de documentacion -60% (de 90 a 36 min); satisfaccion >= 4/5";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";true;false;false;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);solido;;train
VAR-SOL-S03;VAR-SOL-S03;true;false;false;false;"Sistema que resume el historial del cliente para el representante antes de la llamada; es informativo.";Operaciones;Proceso interno del area;"Tiempo de preparacion -50%; satisfaccion del representante >= 4/5";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;true;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);solido;;train
VAR-SOL-S04;VAR-SOL-S04;false;true;false;false;"Sistema que prioriza tickets por severidad y los rutea al equipo correcto; el equipo decide.";Operaciones;Proceso interno del area;Tiempo de primera respuesta -40% (de 8h a 5h);"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;true;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);solido;;train
VAR-SOL-S05;VAR-SOL-S05;false;true;false;false;"Sistema que resume reportes de gestion y marca desvios para la gerencia; la gerencia valida.";Operaciones;Proceso interno del area;"Tiempo de resumen < 2h; precision de desvios >= 85%";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;false;true;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);solido;;train
VAR-SOL-S06;VAR-SOL-S06;false;false;false;true;Pipeline que clasifica logs para mejorar la observabilidad del equipo de plataforma.;Operaciones;Proceso interno del area;"Cobertura de clasificacion >= 90%; MTTR -30%";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;true;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);solido;;train
VAR-SOL-S07;VAR-SOL-S07;true;false;false;false;"Chatbot que responde consultas del cliente sobre su plan; escala a humano fuera de dominio.";Operaciones;Proceso interno del area;"Resolucion sin escalada >= 70%; CSAT >= 4/5";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;true;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);solido;;train
VAR-SOL-S08;VAR-SOL-S08;false;true;false;false;"Sistema que identifica clausulas de riesgo en contratos para el equipo legal; el abogado valida.";Operaciones;Proceso interno del area;"Cobertura de clausulas >= 90%; falsos negativos < 5%";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;false;true;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);solido;;train
VAR-SOL-S09;VAR-SOL-S09;false;false;true;false;"Asistente que genera consultas SQL desde lenguaje natural para el analista; el analista revisa.";Operaciones;Proceso interno del area;"Tiempo de consulta -55%; consultas correctas >= 85%";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";true;false;false;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);solido;;train
VAR-SOL-S10;VAR-SOL-S10;false;true;false;false;"Sistema que predice demanda de stock para sugerir reposicion al comprador; el comprador decide.";Operaciones;Proceso interno del area;"Quiebres de stock -35%; exactitud de pronostico >= 80%";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;true;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);solido;;train
