split,question,context,answer
train,"¿Cuál es el reembolso máximo para comidas en viajes nacionales?","Política 2.1: Gastos de Viaje. Las comidas se reembolsan hasta $50000 por día para viajes nacionales y $80000 para internacionales. Se requieren recibos para montos superiores a $25000.","Hasta $50000 por día para viajes nacionales."
train,"¿Necesito recibo para una cena de $35000 en viaje internacional?","Política 2.1: Gastos de Viaje. Las comidas se reembolsan hasta $50000 por día para viajes nacionales y $80000 para internacionales. Se requieren recibos para montos superiores a $25000.","Sí, necesitas recibo porque el monto ($35000) supera el umbral de $25000."
train,"¿Puedo tomar 20 días de vacaciones en mi primer año porque he trabajado duro?","Política 6.1: Tiempo Libre. Los empleados acumulan 15 días de vacaciones en su primer año de empleo. Después de 3 años, esto aumenta a 20 días.","No, en el primer año solo acumulas 15 días de vacaciones independientemente del desempeño."
train,"¿Cuál es el presupuesto anual para capacitaciones externas?","Política 6.1: Tiempo Libre. Los empleados acumulan 15 días de vacaciones en su primer año de empleo. Después de 3 años, esto aumenta a 20 días.","La información sobre presupuesto de capacitaciones no se encuentra en las políticas proporcionadas."
train,"¿Hasta cuánto puedo gastar en cenas de equipo si incluyo vino?","Política 2.3: Eventos de Equipo. Las cenas de equipo tienen un tope de $40000 por persona, incluyendo impuestos y propina. El alcohol no es reembolsable sin aprobación del Vicepresidente.","Hasta $40000 por persona para comida, pero el alcohol requiere aprobación separada del Vicepresidente."
train,"¿Quién aprueba las solicitudes de trabajo remoto?","Política 4.5: Trabajo Remoto. Todas las solicitudes de trabajo remoto deben enviarse a través del portal de RRHH y ser aprobadas por el supervisor directo y el jefe de departamento.","El supervisor directo y el jefe de departamento."
train,"¿Puedo llevar a mi esposa e hijo a la cena de equipo del viernes?","Política 2.3: Eventos de Equipo. Las cenas de equipo tienen un tope de $40000 por persona, incluyendo impuestos y propina. Solo empleados directos pueden asistir a menos que sea un evento familiar designado.","No, solo empleados directos pueden asistir a menos que sea un evento familiar designado."
train,"Si tomo un café de $8000 en un viaje, ¿necesito guardar el recibo?","Política 2.1: Gastos de Viaje. Las comidas se reembolsan hasta $50000 por día para viajes nacionales y $80000 para internacionales. Se requieren recibos para montos superiores a $25000.","No, solo se requieren recibos para montos superiores a $25000."
train,"Si trabajo remoto permanentemente, ¿quién aprueba mis vacaciones?","Política 4.5: Trabajo Remoto. Todas las solicitudes de trabajo remoto deben enviarse a través del portal de RRHH y ser aprobadas por el supervisor directo y el jefe de departamento. Política 6.1: Tiempo Libre. Las solicitudes de vacaciones deben ser aprobadas por el supervisor directo.","El supervisor directo aprueba las vacaciones. La política de trabajo remoto no modifica este proceso."
val,"¿Cuál es el límite exacto para cenas de equipo incluyendo todos los cargos?","Política 2.3: Eventos de Equipo. Las cenas de equipo tienen un tope de $40000 por persona, incluyendo impuestos y propina. El alcohol no es reembolsable sin aprobación del Vicepresidente.","$40000 por persona, incluyendo impuestos y propina (sin contar alcohol que requiere aprobación separada)."
val,"¿Puedo traer a mi perro de terapia certificado a la oficina cualquier día?","Política 9.0: Ambiente de Oficina. Los animales de servicio son siempre bienvenidos. Los animales de apoyo emocional requieren documentación de RRHH. Las mascotas solo se permiten los Viernes de Mascotas.","Como animal de apoyo emocional, puedes traerlo si presentas documentación a RRHH. No está clasificado como animal de servicio."
val,"¿Qué sucede si mi vuelo se cancela y debo gastar más del límite diario en comidas?","Política 2.1: Gastos de Viaje. Las comidas se reembolsan hasta $50000 por día para viajes nacionales y $80000 para internacionales. Se requieren recibos para montos superiores a $25000.","El contexto no especifica procedimientos para excepciones por emergencias como cancelaciones de vuelo."
val,"Después de 5 años trabajando, ¿cuántos días de vacaciones tengo acumulados?","Política 6.1: Tiempo Libre. Los empleados acumulan 15 días de vacaciones en su primer año de empleo. Después de 3 años, esto aumenta a 20 días.","20 días, porque después de 3 años el acumulado aumenta a 20 días anuales."
test,"¿Necesito recibo para un almuerzo de $18000 en un viaje internacional?","Política 2.1: Gastos de Viaje. Las comidas se reembolsan hasta $50000 por día para viajes nacionales y $80000 para internacionales. Se requieren recibos para montos superiores a $25000.","No, solo se requieren recibos para montos superiores a $25000."
test,"Si aprobaron mi trabajo remoto, ¿puedo llevar a mi gato a la oficina los días que voy?","Política 4.5: Trabajo Remoto. Todas las solicitudes de trabajo remoto deben enviarse a través del portal de RRHH y ser aprobadas por el supervisor directo y el jefe de departamento. Política 9.0: Ambiente de Oficina. Las mascotas solo se permiten los Viernes de Mascotas.","Solo los Viernes de Mascotas. La aprobación de trabajo remoto no modifica las reglas de mascotas en oficina."
