id;nombre_iniciativa;tipo_intent_negocio;tipo_intent_operativo;tipo_intent_capacidad_equipos;tipo_intent_tecnico_arquitectural;declaracion_intent;area_proponente;flujo_de_valor;metricas_de_exito;impacto_personas;datos_requeridos_ninguno;datos_requeridos_datos_publicos;datos_requeridos_datos_operativos;datos_requeridos_datos_personales;datos_requeridos_datos_confidenciales;datos_requeridos_otros;supuesto_riesgo;restricciones;sponsor;label;razonamiento;split
VAR-FAC-V01;VAR-FAC-V01;false;true;false;false;"Sistema que resume reportes sobre plataforma interna homologada; la gerencia valida.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;false;true;false;"Plataforma interna homologada; gerencia valida.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);avanza_fast_gate;;train
VAR-FAC-V02;VAR-FAC-V02;true;false;false;false;"Recomendador que sugiere ofertas al representante en plataforma homologada; el representante decide.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes via representante. Criticidad media.;false;false;false;true;false;false;Plataforma homologada.;"Cumplimiento Ley 25.326; el representante decide.";Gerente de Area (persona accountable);avanza_fast_gate;;train
VAR-FAC-V03;VAR-FAC-V03;false;false;true;false;"Asistente de minutas con modelo del catalogo corporativo; el autor valida.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";true;false;false;false;false;false;"Modelo del catalogo; revision previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);avanza_fast_gate;;train
VAR-FAC-V04;VAR-FAC-V04;false;true;false;false;"Sistema que prioriza incidencias para el equipo tecnico; el equipo decide.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;true;false;false;false;"Plataforma interna; el equipo decide.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);avanza_fast_gate;;train
VAR-FAC-V05;VAR-FAC-V05;false;true;false;false;"Analizador de clausulas con plataforma homologada; el abogado valida cada hallazgo.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Abogados como consumidores. Criticidad alta.;false;false;false;false;true;false;Plataforma homologada.;"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);avanza_fast_gate;;train
VAR-FAC-V06;VAR-FAC-V06;false;false;false;true;Clasificador de logs sobre infraestructura interna homologada.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;true;false;false;false;Infraestructura interna homologada.;"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);avanza_fast_gate;;train
VAR-FAC-V07;VAR-FAC-V07;false;true;false;false;"Deteccion de anomalias de costos con plataforma interna; el analista valida.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;false;true;false;Plataforma interna homologada.;"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);avanza_fast_gate;;train
VAR-FAC-V08;VAR-FAC-V08;true;false;false;false;Resumen informativo del historial del cliente para el representante en CRM interno.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Representantes como usuarios; informativo. Criticidad media.";false;false;false;true;false;false;CRM interno homologado.;"Cumplimiento Ley 25.326; el representante decide.";Gerente de Area (persona accountable);avanza_fast_gate;;train
VAR-FAC-V09;VAR-FAC-V09;false;true;false;false;"Sistema que sugiere reposicion al comprador; el comprador decide.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;true;false;false;false;"Plataforma interna; el comprador decide.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);avanza_fast_gate;;val
VAR-FAC-V10;VAR-FAC-V10;false;false;true;false;"Asistente SQL con modelo del catalogo; el analista revisa.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";true;false;false;false;false;false;Modelo del catalogo.;"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);avanza_fast_gate;;val
VAR-FAC-V11;VAR-FAC-V11;false;true;false;false;"Resumen de actas internas con plataforma homologada; los participantes validan.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;false;true;false;Plataforma homologada.;"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);avanza_fast_gate;;val
VAR-FAC-V12;VAR-FAC-V12;false;true;false;false;"Monitoreo que alerta al equipo NOC; el equipo decide intervenir.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;true;false;false;false;"Plataforma interna; el equipo decide.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);avanza_fast_gate;;val
VAR-FAC-D01;VAR-FAC-D01;false;true;false;false;Agente que actualiza automaticamente datos del cliente en dos sistemas sin revision previa, miles por ciclo.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes cuyos datos cambian. Criticidad alta.;false;false;false;true;false;false;Revision del log ex-post (posterior al efecto).;"Cumplimiento Ley 25.326; sin modificar datos financieros.";Gerente de Area (persona accountable);avanza_con_redisenio;;train
VAR-FAC-D02;VAR-FAC-D02;true;false;false;false;Sistema que aplica descuentos a clientes automaticamente sin aprobacion previa.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Clientes con descuentos. Criticidad media.;false;false;false;true;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";Cumplimiento Defensa del Consumidor.;Gerente de Area (persona accountable);avanza_con_redisenio;;train
