split,case_id,ficha,p1,p2,p3,p4,p5,clasificacion,razonamiento
train,VAR-FG-V01,"Nombre de la iniciativa: VAR-FG-V01
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que genera borradores de minutas internas; el autor revisa antes de compartir.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",,,,,,Verde,"Verde: uso interno de baja criticidad, sin datos sensibles ni decision sobre personas; el autor revisa antes de compartir."
train,VAR-FG-V02,"Nombre de la iniciativa: VAR-FG-V02
Tipo de intent: Operativo
Declaracion del intent: Sistema que alerta al equipo tecnico ante desvios de metricas de infraestructura; el equipo decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Equipo tecnico como destinatario. Criticidad baja para personas.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Alertas no automaticas sobre la red.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",,,,,,Verde,Verde: datos operativos no sensibles y alerta no automatica; el equipo tecnico decide la intervencion.
train,VAR-FG-V03,"Nombre de la iniciativa: VAR-FG-V03
Tipo de intent: Operativo
Declaracion del intent: Sistema que ordena correos internos por tema; el empleado decide que hacer.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",,,,,,Verde,"Verde: sin datos sensibles, el empleado decide que hacer; sin impacto sobre terceros."
train,VAR-FG-V04,"Nombre de la iniciativa: VAR-FG-V04
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que sugiere cursos del catalogo interno al empleado; el empleado decide libremente.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados; la decision es del empleado; sin impacto en desempeno. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",,,,,,Verde,"Verde: la decision queda en el empleado, sin impacto en su desempeno ni datos sensibles."
train,VAR-FG-V05,"Nombre de la iniciativa: VAR-FG-V05
Tipo de intent: Operativo
Declaracion del intent: Sistema que resume metricas operativas no sensibles para el equipo; la gerencia valida.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Gerentes como consumidores; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",,,,,,Verde,Verde: datos operativos no sensibles y no decide sobre personas; la gerencia valida.
train,VAR-FG-V06,"Nombre de la iniciativa: VAR-FG-V06
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que propone respuestas a tickets internos; el agente revisa antes de enviar.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",,,,,,Verde,Verde: uso interno y el agente revisa antes de enviar; sin datos sensibles.
train,VAR-FG-V07,"Nombre de la iniciativa: VAR-FG-V07
Tipo de intent: Operativo
Declaracion del intent: Generador de borradores de documentacion interna a partir de notas; el autor aprueba.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",,,,,,Verde,Verde: documentacion interna y el autor aprueba; sin impacto en personas.
train,VAR-FG-V08,"Nombre de la iniciativa: VAR-FG-V08
Tipo de intent: Tecnico/Arquitectural
Declaracion del intent: Pipeline que clasifica logs tecnicos para el equipo de plataforma.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Equipo tecnico. Criticidad baja para personas.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",,,,,,Verde,"Verde: datos tecnicos internos, sin impacto en personas externas."
val,VAR-FG-V09,"Nombre de la iniciativa: VAR-FG-V09
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que resume papers para el equipo de investigacion; ellos validan.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",,,,,,Verde,
val,VAR-FG-V10,"Nombre de la iniciativa: VAR-FG-V10
Tipo de intent: Operativo
Declaracion del intent: Sistema que sugiere reposicion de stock al comprador; el comprador decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",,,,,,Verde,
