split,text,sentiment,reasoning
train,"Oh, fantastic. Another delay. Just what I needed today.",negative,"Sarcasm: 'fantastic' means the opposite in this context"
train,"It's not exactly the worst movie I've ever seen.",neutral,"Litotes: Double negative implies mediocrity, not praise"
train,"I love waiting 40 minutes for cold food. It's my favorite hobby.",negative,"Sarcasm: 'love' and 'favorite hobby' are used ironically"
train,"The design is bold, assuming you like ugly things.",negative,"Twist: Starts positive, ends with a direct insult"
train,"I don't hate it, but I wouldn't buy it again.",neutral,"Ambivalence: explicit lack of hate but lack of endorsement"
train,"It works, technically.",neutral,"Qualification: 'technically' implies it barely functions or lacks quality"
train,"A masterpiece of incompetence.",negative,"Oxymoron: 'masterpiece' modifies a negative trait"
train,"Surprisingly, it didn't break immediately.",neutral,"Backhanded compliment: Low expectation met"
train,"Thanks for the 'upgrade' to the room with the view of the brick wall.",negative,"Sarcasm: Quotes around 'upgrade' and bad view"
train,"This is as useful as a screen door on a submarine.",negative,"Idiom: Describes something completely useless"
train,"I can't recommend this highly enough to my worst enemies.",negative,"Deceptive phrasing: Recommending to enemies implies it's bad"
train,"It’s adequate, I suppose.",neutral,"Apathy/Resignation: Weakest form of acceptance"
train,"Not a bad way to waste an afternoon.",positive,"Litotes: 'Not bad' often means good/enjoyable"
train,"Brilliant engineering, if your goal was to create a paperweight.",negative,"Twist: Conditional praise that negates value"
train,"I've had better, but I've definitely had worse.",neutral,"Comparison: Places the object firmly in the middle/average"
val,"Nice job breaking the build, hero.",negative,"Sarcasm: 'Nice job' and 'hero' used aggressively"
val,"It met my expectations. My expectations were zero.",negative,"Context: Meeting zero expectations is a failure"
val,"I wouldn't say no to another one.",positive,"Litotes: Double negative indicating desire"
val,"Pretty good for a cheap knock-off.",neutral,"Conditional praise: Good only relative to low standards"
val,"Ideally, I'd prefer something else, but this will do.",neutral,"Resignation: Functional but not desired"
val,"The plot wasn't entirely predictable.",positive,"Litotes/Nuance: Mild praise for originality"
val,"I would love it if it actually worked.",negative,"Conditional: The condition 'if it worked' implies it doesn't"
val,"Makes the previous broken version look like a masterpiece.",negative,"Comparative Negativity: Implies current version is much worse"
val,"It is certainly one of the options on the market.",neutral,"Tautology: Implies no distinguishing positive features"
val,"It has a lot of potential, unfortunately unused.",negative,"Hidden Disappointment: Potential is not realized"
val,"I was ready to give this 5 stars, until I opened the box.",negative,"False Positive Start: Ending negates the beginning"
val,"It is exactly what I expect from this brand.",negative,"Passive Aggressive: Implies low expectations for the brand"
test,"Great, my package arrived... crushed.",negative,"Sarcasm/Contrast: 'Great' contrasts with 'crushed'"
test,"It is not distinctively bad.",neutral,"Litotes: 'Not bad' implies average/neutral"
test,"An experience I never wish to repeat.",negative,"Euphemism: 'Experience' implies something traumatic or bad"
test,"I'd give it five stars if I could give negative stars.",negative,"Twist: Starts with 'five stars' but negates it"
test,"It's definitely a product that exists.",neutral,"Tautology: Implies lack of any praiseworthy features"
test,"I applaud their effort to be completely unhelpful.",negative,"Sarcasm: 'Applaud' used for a negative trait"
test,"My grandmother would have loved this. She had no taste either.",negative,"Backhanded comparison: Associates the product with poor taste through a deceased relative"
test,"I keep coming back to it, which says more about me than the product.",neutral,"Self-deprecation: Neither endorses nor condemns the product, deflects judgment onto the user"
test,"It changed my life in the same way that a flat tire changes your commute.",negative,"Analogy: 'Changed my life' sounds positive but the comparison reveals disruption"
test,"The customer support team really takes their time. With everything. Always.",negative,"Implied criticism: 'Takes their time' and repetition suggest slowness, not thoroughness"
test,"I bought it for my ex. Perfect gift.",negative,"Context-dependent: Buying for an ex implies the product is unwanted or a subtle insult"
test,"It works well enough that you stop noticing it, which is either a compliment or an indictment.",neutral,"Genuine ambiguity: The speaker explicitly acknowledges the dual interpretation"
test,"After three returns and two replacements, the fourth one was acceptable.",negative,"Hidden narrative: Acceptability required four attempts, indicating systemic quality issues"
test,"I was told I would love it. The person who told me that is no longer my friend.",negative,"Narrative implication: Product caused a friendship to end, suggesting extreme disappointment"
test,"It solved a problem I never knew I had, and now I have two new ones.",neutral,"Mixed outcome: Acknowledges utility but introduces new complications, net effect ambiguous"
