split,text,sentiment,reasoning
train,"Oh, fantástico. Otro retraso. Justo lo que necesitaba hoy. VAmos adelante",negativo,"Sarcasmo: 'fantástico' significa lo opuesto en este contexto"
train,"No es exactamente la peor película que he visto.",neutral,"Lítote: Doble negación implica mediocridad, no alabanza"
train,"Me encanta esperar 40 minutos por comida fría. Es mi pasatiempo favorito.",negativo,"Sarcasmo: 'encanta' y 'pasatiempo favorito' se usan irónicamente"
train,"El diseño es atrevido, asumiendo que te gusten las cosas feas.",negativo,"Giro: Empieza positivo, termina con un insulto directo"
train,"No lo odio, pero no lo volvería a comprar.",neutral,"Ambivalencia: falta explícita de odio pero sin recomendación"
train,"Funciona, técnicamente.",neutral,"Cualificación: 'técnicamente' implica que apenas funciona o carece de calidad"
train,"Una obra maestra de la incompetencia.",negativo,"Oxímoron: 'obra maestra' modifica un rasgo negativo"
train,"Sorprendentemente, no se rompió de inmediato.",neutral,"Elogio revés: Baja expectativa cumplida"
train,"Gracias por la 'mejora' a la habitación con vista a la pared de ladrillos.",negativo,"Sarcasmo: Comillas en 'mejora' y mala vista"
train,"Esto es tan útil como un cenicero en una moto.",negativo,"Modismo: Describe algo completamente inútil"
train,"No puedo recomendar esto lo suficiente a mis peores enemigos.",negativo,"Fraseo engañoso: Recomendar a enemigos implica que es malo"
train,"Es adecuado, supongo.",neutral,"Apatía/Resignación: La forma más débil de aceptación"
train,"No es una mala forma de perder la tarde.",positivo,"Lítote: 'No es mala' a menudo significa bueno/disfrutable"
train,"Ingeniería brillante, si tu objetivo era crear un pisapapeles.",negativo,"Giro: Alabanza condicional que niega el valor"
train,"He tenido mejores, pero definitivamente he tenido peores.",neutral,"Comparación: Coloca el objeto firmemente en el medio/promedio"
train,"Cuando recibi su libro cai al suelo de risa, espero algun dia poder leerlo, no pude hacerlo porque tuve que comprar el pan y lavarme los dientes",negativo,"Sarcasmo, actividades triviales le impliden leer el libro y le causa risa sin haberlo leido"
train,"El servicio fue tan rápido que ni siquiera tuvieron tiempo de cocinar la carne.",negativo,"Sarcasmo: La rapidez causó un fallo en la calidad del producto"
train,"Es el iPhone de los teléfonos de 50 euros.",neutral,"Alabanza relativa: Bueno solo dentro de una categoría muy baja"
train,"No te aburrirás buscando dónde están las funciones básicas.",negativo,"Ironía: Sugiere que la interfaz es confusa y difícil de usar"
train,"No es que me encante, pero me resultaría muy difícil volver a mi vida antes de tenerlo.",positivo,"Aprecio funcional: Indica dependencia y alta utilidad sin usar adjetivos emocionales"
train,"Tiene la robustez de un castillo de naipes en un vendaval.",negativo,"Metáfora: Describe algo extremadamente frágil"
train,"No le falta ni un solo tornillo, y eso en esta industria ya es una victoria.",positivo,"Alabanza técnica: Resalta la calidad de construcción mediante el cumplimiento de un estándar básico"
val,"Buen trabajo rompiendo el sistema, genio.",negativo,"Sarcasmo: 'Buen trabajo' y 'genio' usados agresivamente"
val,"Cumplió mis expectativas. Mis expectativas eran cero.",negativo,"Contexto: Cumplir expectativas cero es un fracaso"
val,"No le diría que no a otro.",positivo,"Lítote: Doble negación indicando deseo"
val,"Bastante bueno para ser una imitación barata.",neutral,"Alabanza condicional: Bueno solo relativo a estándares bajos"
val,"Idealmente preferiría otra cosa, pero esto servirá.",neutral,"Resignación: Funcional pero no deseado"
val,"La trama no fue enteramente predecible.",positivo,"Lítote/Matiz: Alabanza leve por originalidad"
val,"Me encantaría si realmente funcionara.",negativo,"Condicional: La condición 'si funcionara' implica que no lo hace"
val,"Hace que la versión anterior rota parezca una obra maestra.",negativo,"Negatividad Comparativa: Implica que la versión actual es mucho peor"
val,"Es ciertamente una de las opciones en el mercado.",neutral,"Tautología: Implica que no hay rasgos positivos distintivos"
val,"Tiene mucho potencial, desafortunadamente desperdiciado.",negativo,"Decepción Oculta: El potencial no se realiza"
val,"Estaba listo para darle 5 estrellas, hasta que abrí la caja.",negativo,"Inicio Falso Positivo: El final niega el principio"
val,"Es exactamente lo que espero de esta marca.",negativo,"Pasivo-Agresivo: Implica bajas expectativas para la marca"
val,"Me recordó por qué prefiero hacer las cosas yo mismo.",negativo,"Decepción implícita: El producto falló tanto que el usuario prefiere el auto-servicio"
val,"Podría ser mucho más caro y seguiría sintiendo que les estoy robando.",positivo,"Valor extremo: Indica que el precio es bajísimo para la calidad recibida"
test,"Genial, mi paquete llegó... aplastado.",negativo,"Sarcasmo/Contraste: 'Genial' contrasta con 'aplastado'"
test,"No es distintivamente malo.",neutral,"Lítote: 'No es malo' implica promedio/neutral"
test,"Una experiencia que nunca deseo repetir.",negativo,"Eufemismo: 'Experiencia' implica algo traumático o malo"
test,"Le daría cinco estrellas si pudiera dar estrellas negativas.",negativo,"Giro: Empieza con 'cinco estrellas' pero lo niega"
test,"Definitivamente es un producto que existe.",neutral,"Tautología: Implica falta de cualquier rasgo digno de alabanza"
test,"Aplaudo su esfuerzo por ser completamente inútiles.",negativo,"Sarcasmo: 'Aplaudo' usado para un rasgo negativo"
test,"Una joya para los coleccionistas de experiencias olvidables.",negativo,"Oxímoron: Llama 'joya' a algo que no tiene valor ni impacto"
test,"No es la panacea, pero es lo más cerca que estarás de la perfección por este precio.",positivo,"Alabanza matizada: Reconoce limitaciones pero afirma superioridad competitiva"
test,"Mi abuela habria adorado esto. Ella tampoco tenia buen gusto.",negativo,"Comparacion insultante: Asocia el producto con mal gusto a traves de un familiar"
test,"Me cambio la vida de la misma forma que un pinchazo te cambia el trayecto al trabajo.",negativo,"Analogia: 'Me cambio la vida' suena positivo pero la comparacion revela disrupcion"
test,"Funciona lo suficientemente bien como para que dejes de notarlo, lo cual es un elogio o una condena.",neutral,"Ambiguedad genuina: El hablante reconoce explicitamente la doble interpretacion"
test,"Despues de tres devoluciones y dos reemplazos, el cuarto fue aceptable.",negativo,"Narrativa oculta: La aceptabilidad requirio cuatro intentos, indicando problemas sistemicos"
test,"El equipo de soporte realmente se toma su tiempo. Con todo. Siempre.",negativo,"Critica implicita: 'Se toma su tiempo' y la repeticion sugieren lentitud, no meticulosidad"
test,"Se lo compre a mi ex. El regalo perfecto.",negativo,"Dependiente del contexto: Comprar para un ex implica que el producto es indeseado o un insulto sutil"
test,"Me dijeron que me iba a encantar. La persona que me dijo eso ya no es mi amigo.",negativo,"Implicacion narrativa: El producto causo el fin de una amistad, sugiriendo decepcion extrema"
