id;nombre_iniciativa;tipo_intent_negocio;tipo_intent_operativo;tipo_intent_capacidad_equipos;tipo_intent_tecnico_arquitectural;declaracion_intent;area_proponente;flujo_de_valor;metricas_de_exito;impacto_personas;datos_requeridos_ninguno;datos_requeridos_datos_publicos;datos_requeridos_datos_operativos;datos_requeridos_datos_personales;datos_requeridos_datos_confidenciales;datos_requeridos_otros;supuesto_riesgo;restricciones;sponsor;p1;p2;p3;p4;p5;alto_impacto;label;razonamiento;split
VAR-FG-V01;VAR-FG-V01;false;false;true;false;"Asistente que genera borradores de minutas internas; el autor revisa antes de compartir.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";true;false;false;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);No;No;No;No;No;No;Verde;"Verde: uso interno de baja criticidad, sin datos sensibles ni decision sobre personas; el autor revisa antes de compartir.";train
VAR-FG-V02;VAR-FG-V02;false;true;false;false;"Sistema que alerta al equipo tecnico ante desvios de metricas de infraestructura; el equipo decide.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Equipo tecnico como destinatario. Criticidad baja para personas.;false;false;true;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";Alertas no automaticas sobre la red.;Gerente de Area (persona accountable);No;No;No;No;No;No;Verde;"Verde: datos operativos no sensibles y alerta no automatica; el equipo tecnico decide la intervencion.";train
VAR-FG-V03;VAR-FG-V03;false;true;false;false;"Sistema que ordena correos internos por tema; el empleado decide que hacer.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Empleados como usuarios. Criticidad baja.;true;false;false;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);No;No;No;No;No;No;Verde;"Verde: sin datos sensibles, el empleado decide que hacer; sin impacto sobre terceros.";train
VAR-FG-V04;VAR-FG-V04;false;false;true;false;"Asistente que sugiere cursos del catalogo interno al empleado; el empleado decide libremente.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados; la decision es del empleado; sin impacto en desempeno. Criticidad baja.";true;false;false;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);No;No;No;No;No;No;Verde;Verde: la decision queda en el empleado, sin impacto en su desempeno ni datos sensibles.;train
VAR-FG-V05;VAR-FG-V05;false;true;false;false;"Sistema que resume metricas operativas no sensibles para el equipo; la gerencia valida.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Gerentes como consumidores; no decide sobre personas. Criticidad baja.";false;false;true;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);No;No;No;No;No;No;Verde;"Verde: datos operativos no sensibles y no decide sobre personas; la gerencia valida.";train
VAR-FG-V06;VAR-FG-V06;false;false;true;false;"Asistente que propone respuestas a tickets internos; el agente revisa antes de enviar.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Empleados como usuarios. Criticidad baja.;true;false;false;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);No;No;No;No;No;No;Verde;"Verde: uso interno y el agente revisa antes de enviar; sin datos sensibles.";train
VAR-FG-V07;VAR-FG-V07;false;true;false;false;"Generador de borradores de documentacion interna a partir de notas; el autor aprueba.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Empleados como usuarios. Criticidad baja.;true;false;false;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);No;No;No;No;No;No;Verde;"Verde: documentacion interna y el autor aprueba; sin impacto en personas.";train
VAR-FG-V08;VAR-FG-V08;false;false;false;true;Pipeline que clasifica logs tecnicos para el equipo de plataforma.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Equipo tecnico. Criticidad baja para personas.;false;false;true;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);No;No;No;No;No;No;Verde;Verde: datos tecnicos internos, sin impacto en personas externas.;train
VAR-FG-V09;VAR-FG-V09;false;false;true;false;"Asistente que resume papers para el equipo de investigacion; ellos validan.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Empleados como usuarios. Criticidad baja.;true;false;false;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);No;No;No;No;No;No;Verde;;val
VAR-FG-V10;VAR-FG-V10;false;true;false;false;"Sistema que sugiere reposicion de stock al comprador; el comprador decide.";Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";Empleados como usuarios. Criticidad baja.;false;false;true;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);No;No;No;No;No;No;Verde;;val
