id;nombre_iniciativa;tipo_intent_negocio;tipo_intent_operativo;tipo_intent_capacidad_equipos;tipo_intent_tecnico_arquitectural;declaracion_intent;area_proponente;flujo_de_valor;metricas_de_exito;impacto_personas;datos_requeridos_ninguno;datos_requeridos_datos_publicos;datos_requeridos_datos_operativos;datos_requeridos_datos_personales;datos_requeridos_datos_confidenciales;datos_requeridos_otros;supuesto_riesgo;restricciones;sponsor;label;razonamiento;split
VAR-INT-I01;Clasificador de tickets;false;true;false;false;;Soporte;Proceso interno del area;Reduccion del tiempo de primera respuesta de 8h a 2h;"Agentes de soporte como usuarios; el cliente recibe la derivacion. Criticidad media.";false;false;true;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Jefe de Mesa de Ayuda (persona accountable);incompleta;;train
VAR-INT-I02;VAR-INT-I02;true;false;false;false;Sistema que recomienda ofertas al cliente.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;true;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";;incompleta;;train
VAR-INT-I03;VAR-INT-I03;false;true;false;false;Sistema que resume reportes financieros internos.;Operaciones;Proceso interno del area;;"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;false;true;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);incompleta;;train
VAR-INT-I04;VAR-INT-I04;false;true;false;false;Sistema que prioriza ordenes de trabajo.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";;false;false;true;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);incompleta;;train
VAR-INT-I05;VAR-INT-I05;false;false;true;false;Asistente que redacta minutas internas.;Operaciones;;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";true;false;false;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);incompleta;;train
VAR-INT-I06;VAR-INT-I06;false;true;false;false;Detector de anomalias en logs de red.;;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;true;false;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);incompleta;;train
VAR-INT-I07;VAR-INT-I07;true;false;false;false;Motor de scoring de clientes.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;true;false;false;;"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Area (persona accountable);incompleta;;train
VAR-INT-I08;VAR-INT-I08;false;true;false;false;Resumen de contratos internos.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;false;true;false;"El modelo del catalogo es adecuado; hay revision humana previa.";;Gerente de Area (persona accountable);incompleta;;train
VAR-INT-I09;Asistente de inventario;false;true;false;false;;Logistica;Proceso interno del area;Reduccion de quiebres de stock del 15% al 5%;"Equipo de logistica como usuario; no decide sobre personas. Criticidad baja.";false;false;true;false;false;false;"Modelo de pronostico estandar; el planner valida los pedidos sugeridos.";"Sin datos personales; revision humana previa; presupuesto acotado.";Gerente de Logistica (persona accountable);incompleta;;train
VAR-INT-I10;VAR-INT-I10;true;false;false;false;Recomendador de planes.;Operaciones;Proceso interno del area;"Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)";"Empleados como usuarios; no decide sobre personas. Criticidad baja.";false;false;false;true;false;false;"El modelo del catalogo es adecuado; hay revision humana previa.";"Sin datos personales; revision humana previa; presupuesto acotado.";;incompleta;;train
