split,case_id,ficha,p1,p2,p3,p4,p5,alto_impacto,acotado,reversible,escala_masiva,naturaleza_restrictiva,decision_financiera,irreversible_sin_intervencion,exposicion_regulatoria,profiling,clasificacion,razonamiento
train,VAR-FG-V01,"Nombre de la iniciativa: VAR-FG-V01
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que genera borradores de minutas internas; el autor revisa antes de compartir.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,"Verde: uso interno de baja criticidad, sin datos sensibles ni decision sobre personas; el autor revisa antes de compartir."
train,VAR-FG-V02,"Nombre de la iniciativa: VAR-FG-V02
Tipo de intent: Operativo
Declaracion del intent: Sistema que alerta al equipo tecnico ante desvios de metricas de infraestructura; el equipo decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Equipo tecnico como destinatario. Criticidad baja para personas.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Alertas no automaticas sobre la red.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,Verde: datos operativos no sensibles y alerta no automatica; el equipo tecnico decide la intervencion.
train,VAR-FG-V03,"Nombre de la iniciativa: VAR-FG-V03
Tipo de intent: Operativo
Declaracion del intent: Sistema que ordena correos internos por tema; el empleado decide que hacer.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,"Verde: sin datos sensibles, el empleado decide que hacer; sin impacto sobre terceros."
train,VAR-FG-V04,"Nombre de la iniciativa: VAR-FG-V04
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que sugiere cursos del catalogo interno al empleado; el empleado decide libremente.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados; la decision es del empleado; sin impacto en desempeno. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,"Verde: la decision queda en el empleado, sin impacto en su desempeno ni datos sensibles."
train,VAR-FG-V05,"Nombre de la iniciativa: VAR-FG-V05
Tipo de intent: Operativo
Declaracion del intent: Sistema que resume metricas operativas no sensibles para el equipo; la gerencia valida.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Gerentes como consumidores; no decide sobre personas. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,Verde: datos operativos no sensibles y no decide sobre personas; la gerencia valida.
train,VAR-FG-V06,"Nombre de la iniciativa: VAR-FG-V06
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que propone respuestas a tickets internos; el agente revisa antes de enviar.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,Verde: uso interno y el agente revisa antes de enviar; sin datos sensibles.
train,VAR-FG-V07,"Nombre de la iniciativa: VAR-FG-V07
Tipo de intent: Operativo
Declaracion del intent: Generador de borradores de documentacion interna a partir de notas; el autor aprueba.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,Verde: documentacion interna y el autor aprueba; sin impacto en personas.
train,VAR-FG-V08,"Nombre de la iniciativa: VAR-FG-V08
Tipo de intent: Tecnico/Arquitectural
Declaracion del intent: Pipeline que clasifica logs tecnicos para el equipo de plataforma.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Equipo tecnico. Criticidad baja para personas.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,"Verde: datos tecnicos internos, sin impacto en personas externas."
val,VAR-FG-V09,"Nombre de la iniciativa: VAR-FG-V09
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que resume papers para el equipo de investigacion; ellos validan.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,
val,VAR-FG-V10,"Nombre de la iniciativa: VAR-FG-V10
Tipo de intent: Operativo
Declaracion del intent: Sistema que sugiere reposicion de stock al comprador; el comprador decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,
val,VAR-FG-V11,"Nombre de la iniciativa: VAR-FG-V11
Tipo de intent: Operativo
Declaracion del intent: Asistente que traduce documentacion interna no sensible; el autor revisa.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: ninguno sensible",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,
val,VAR-FG-V12,"Nombre de la iniciativa: VAR-FG-V12
Tipo de intent: Operativo
Declaracion del intent: Tablero que resume indicadores operativos para gerentes; ninguna decision sobre personas depende del output.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Gerentes como consumidores. Criticidad baja.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Sin datos personales; revision humana previa; presupuesto acotado.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: operativos",No,No,No,No,No,No,No,No,No,No,No,No,No,No,Verde,
train,VAR-FG-A01,"Nombre de la iniciativa: VAR-FG-A01
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Asistente que resume actas internas usando un LLM externo que sera homologado; los participantes validan.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El LLM externo sera homologado antes del despliegue.
Restricciones explicitas: Revision previa; cumplimiento Ley 25.326.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",si,si,si,No,No,No,No,si,No,No,No,No,No,No,Amarillo,"Amarillo: datos confidenciales y proveedor externo aun por homologar, mitigado por revision humana previa."
train,VAR-FG-A02,"Nombre de la iniciativa: VAR-FG-A02
Tipo de intent: Operativo
Declaracion del intent: Sistema que genera contenido para canales publicos; el responsable aprueba antes de publicar.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Canal de salida publico; un error afecta la imagen. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Normativa de defensa del consumidor sobre publicidad; revision previa.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",si,si,No,si,No,No,No,No,No,No,No,No,No,No,Amarillo,"Amarillo: salida a un canal publico con riesgo reputacional, acotado por aprobacion previa del responsable."
train,VAR-FG-A03,"Nombre de la iniciativa: VAR-FG-A03
Tipo de intent: Negocio
Declaracion del intent: Recomendador de upgrade que el representante presenta; el representante decide.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes via representante; el sistema condiciona la oferta. Criticidad media.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Cumplimiento Ley 25.326 y Defensa del Consumidor; el representante decide.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,No,si,No,No,No,No,No,No,No,No,No,No,Amarillo,"Amarillo: datos personales y condiciona la oferta al cliente, pero el representante decide."
train,VAR-FG-A04,"Nombre de la iniciativa: VAR-FG-A04
Tipo de intent: Operativo
Declaracion del intent: Analizador de clausulas de contratos de clientes; el abogado valida cada hallazgo.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: El analisis condiciona acciones legales sobre clientes. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Confidencialidad contractual; el abogado valida.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",si,si,No,si,No,No,No,No,No,No,No,No,No,No,Amarillo,Amarillo: datos confidenciales que condicionan acciones legales sobre clientes; el abogado valida cada hallazgo.
train,VAR-FG-A05,"Nombre de la iniciativa: VAR-FG-A05
Tipo de intent: Capacidad de Equipo
Declaracion del intent: Resumidor de reuniones con lista de participantes usando un LLM externo por homologar; validan los participantes.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Empleados como usuarios. Criticidad baja.
Supuesto de riesgo inicial: El LLM externo sera homologado.
Restricciones explicitas: Revision previa; cumplimiento Ley 25.326.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,si,No,No,No,No,No,No,No,No,No,No,No,Amarillo,"Amarillo: datos personales y proveedor externo por homologar, con validacion humana de los participantes."
train,VAR-FG-A06,"Nombre de la iniciativa: VAR-FG-A06
Tipo de intent: Negocio
Declaracion del intent: Agente que envia comunicaciones de bienvenida predefinidas al cliente; contenido aprobado.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Clientes que reciben comunicaciones. Criticidad media.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Cumplimiento Ley 26.951 No Llame y Ley 25.326; plantillas aprobadas.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: personales",si,si,No,si,No,No,No,No,No,No,No,No,No,No,Amarillo,"Amarillo: contacto con clientes y datos personales, mitigado por plantillas de contenido aprobadas."
train,VAR-FG-A07,"Nombre de la iniciativa: VAR-FG-A07
Tipo de intent: Operativo
Declaracion del intent: Generador de comunicados para redes sociales corporativas; el responsable aprueba.
Area proponente: Operaciones
Flujo de valor o area afectada: Proceso interno del area
Metricas de exito: Reduccion de tiempo >= 40% (linea base 10h/mes; meta 6h/mes)
Impacto en personas: Audiencia externa publica; error afecta imagen. Criticidad alta.
Supuesto de riesgo inicial: El modelo del catalogo es adecuado; hay revision humana previa.
Restricciones explicitas: Normativa de defensa del consumidor; revision previa.
Sponsor: Gerente de Area (persona accountable)
Datos requeridos: confidenciales",si,si,No,si,No,No,No,No,No,No,No,No,No,No,Amarillo,"Amarillo: exposicion publica con riesgo de imagen, acotada por revision previa del responsable."
